,acousticness,artist,audio_mode,audio_valence,danceability,energy,explicit,instrumentalness,key,liveness,loudness,song_duration_ms,song_name,song_popularity,speechiness,tempo,time_signature
0,0.00552,Green Day,1,0.474,0.496,0.682,True,2.94e-05,8,0.0589,-4.095,262333,Boulevard of Broken Dreams,73,0.0294,167.06,4
1,0.0103,,0,0.37,0.542,0.853,,0.0,3,0.108,-6.407,216933,In The End,66,0.0498,105.256,4
2,0.00817,,1,0.324,0.737,0.4629999999999999,,0.447,0,0.255,-7.827999999999999,231733,Seven Nation Army,76,0.0792,123.881,4
3,0.0264,Red Hot Chili Peppers,1,0.198,0.451,0.97,False,0.00355,0,0.102,-4.938,216933,By The Way,74,0.107,122.444,4
4,0.0009539999999999,,1,0.574,0.447,0.7659999999999999,,0.0,10,0.113,-5.065,223826,How You Remind Me,56,0.0313,172.011,4
5,0.00895,Evanescence,0,0.32,0.316,0.945,False,1.85e-06,4,0.396,-3.169,235893,Bring Me To Life,80,0.124,189.931,4
6,0.0013599999999999,blink-182,1,0.623,0.659,0.778,False,6.79e-06,11,0.0841,-6.422999999999999,227240,I Miss You,71,0.0379,110.022,4
7,0.00701,,0,0.345,0.37,0.944,,2.9e-06,1,0.135,-4.979,256600,Best of You,62,0.0767,130.315,4
8,0.0014,Thirty Seconds To Mars,0,0.302,0.309,0.912,False,0.000271,4,0.5820000000000001,-3.881,231533,The Kill (Bury Me),69,0.0646,183.035,3
9,0.0137,,1,0.687,0.518,0.5379999999999999,,0.000398,0,0.141,-5.818,255066,No One Knows,13,0.0486,170.953,4
10,0.000202,Muse,1,0.411,0.602,0.905,False,0.064,2,0.1169999999999999,-4.046,304840,Uprising,77,0.0775,128.019,4
11,0.0102,Puddle Of Mudd,0,0.495,0.44,0.932,False,0.0,3,0.142,-4.488,303920,Blurry,28,0.0584,157.438,4
12,0.000289,My Chemical Romance,1,0.236,0.217,0.905,False,0.00011,2,0.222,-4.103,311106,Welcome to the Black Parade,77,0.0752,96.95,4
13,0.000194,,1,0.674,0.5820000000000001,0.597,,0.000273,5,0.517,-5.671,262733,All My Life,11,0.0512,167.738,4
14,0.00797,Audioslave,0,0.516,0.614,0.568,False,0.0,7,0.0997,-5.477,293960,Like a Stone,77,0.0276,107.849,4
15,0.0018899999999999,Staind,1,0.0824,0.509,0.774,True,0.000549,6,0.143,-4.053999999999999,264706,It's Been Awhile,65,0.0338,116.529,4
16,0.00506,Limp Bizkit,1,0.6920000000000001,0.599,0.932,True,0.0,9,0.2689999999999999,-3.3280000000000003,213760,Rollin' (Air Raid Vehicle),74,0.18,96.234,4
17,0.00164,Rise Against,0,0.526,0.5489999999999999,0.93,False,6.670000000000001e-05,5,0.39,-3.468,242280,Savior,73,0.0487,112.447,4
18,0.0417,Stone Sour,0,0.434,0.545,0.753,False,0.0,3,0.389,-4.618,282946,Through Glass,60,0.036,105.754,4
19,5.53e-05,Breaking Benjamin,0,0.357,0.374,0.961,False,0.0834,10,0.138,-4.421,200546,The Diary of Jane - Single Version,69,0.0851,167.032,4
20,0.0006309999999999,Incubus,1,0.35,0.246,0.768,False,0.301,9,0.102,-7.48,212733,Wish You Were Here,62,0.0387,169.873,4
21,0.000153,U2,1,0.6829999999999999,0.391,0.831,False,0.0019199999999999,2,0.141,-3.892,194520,Vertigo,57,0.0613,139.946,4
22,0.00225,Arctic Monkeys,0,0.778,0.535,0.948,False,0.0,6,0.376,-4.19,173680,I Bet You Look Good On The Dancefloor,63,0.0356,103.183,4
23,0.00014,Korn,1,0.17,0.4679999999999999,0.769,True,0.00124,4,0.271,-7.0360000000000005,270920,Falling Away from Me,71,0.0409999999999999,104.102,4
24,0.000295,,0,0.698,0.5920000000000001,0.932,,7.59e-05,6,0.138,-4.4910000000000005,175026,Crawling In The Dark,61,0.0885,93.675,4
25,4.78e-05,Godsmack,1,0.386,0.213,0.93,False,0.0,0,0.126,-4.478,246040,I Stand Alone,67,0.0671,169.22099999999998,4
26,0.000336,Audioslave,1,0.368,0.433,0.8540000000000001,False,0.000177,9,0.162,-3.868,277840,Show Me How to Live,72,0.0483,89.4,4
27,0.00018,Seether,1,0.416,0.546,0.959,False,0.00144,8,0.0584,-4.664,207213,Remedy,70,0.0819999999999999,127.831,4
28,6.94e-06,Muse,1,0.349,0.408,0.965,False,0.0004019999999999,2,0.11,-4.232,218000,Plug In Baby,65,0.05,136.018,4
29,0.000249,,0,0.179,0.2689999999999999,0.853,,0.000246,7,0.118,-4.647,299533,Change (In the House of Flies) - In The House Of Flies LP Version,69,0.0854,141.58100000000002,4
30,3.32e-05,A Perfect Circle,0,0.31,0.365,0.894,True,0.171,11,0.267,-4.682,247266,Judith,66,0.0572,82.305,3
31,0.0983,Dillon Francis,1,0.634,0.83,0.497,False,0.0,1,0.0906,-6.94,185282,White Boi,59,0.052,127.965,4
32,0.1169999999999999,COASTCITY,1,0.8540000000000001,0.695,0.884,False,0.0,0,0.104,-6.279,243487,Pa La Calle,61,0.131,74.992,4
33,0.716,Dalex,0,0.6459999999999999,0.722,0.584,True,0.000321,11,0.115,-8.467,210865,Pa Mí,58,0.318,169.97799999999998,4
34,0.00397,BIA,0,0.158,0.812,0.748,True,0.0,5,0.174,-5.959,162733,YAKWTFGO (feat. Kali Uchis),44,0.139,132.035,4
35,0.0526,,1,0.346,0.659,0.7340000000000001,,2.48e-06,10,0.242,-4.008,157461,Come With Me,47,0.046,161.971,4
36,0.2319999999999999,Melii,0,0.7090000000000001,0.705,0.778,False,0.0,9,0.244,-4.101,170997,Como Si Na,54,0.177,160.099,4
37,0.0255,Mariah Angeliq,0,0.777,0.723,0.687,False,0.000207,11,0.124,-4.632,188440,Blah,47,0.2,173.747,4
38,0.0257,A.CHAL,0,0.62,0.928,0.402,True,0.0,8,0.0804,-7.569,253714,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),64,0.451,139.998,4
39,0.0749,Sammi Sanchez,0,0.611,0.736,0.906,False,0.000123,4,0.12,-1.49,185743,Pum Pum,45,0.0566,93.013,4
40,0.425,Messiah,1,0.952,0.777,0.546,False,0.0,7,0.0809,-9.504,208800,No Gratis,44,0.207,147.173,4
41,0.102,Leslie Grace,0,0.619,0.84,0.789,False,0.0,1,0.309,-4.695,211437,Díganle - Tainy Remix,75,0.0949,92.018,4
42,0.181,Pharrell Williams,0,0.69,0.831,0.713,False,0.0,1,0.0572,-3.646,202853,Sangria Wine,75,0.094,132.109,4
43,0.0797,,1,0.7609999999999999,0.825,0.481,,0.0,2,0.239,-8.6,198386,All Day,45,0.0396,121.046,4
44,0.235,Spiff TV,0,0.708,0.682,0.7509999999999999,False,0.0,8,0.11,-5.812,224413,Just As I Am,53,0.0675,129.937,4
45,0.00694,Nina Sky,0,0.6970000000000001,0.799,0.616,False,0.00237,5,0.283,-4.599,218448,Nice & Slow,38,0.0415,127.023,4
46,0.108,Paula DeAnda,1,0.435,0.703,0.617,True,5.610000000000001e-05,7,0.271,-8.732000000000001,133120,Don't Werk,39,0.0731,123.159,4
47,0.0079,Snow Tha Product,1,0.621,0.493,0.825,False,0.0,8,0.129,-4.056,215003,Nuestra Cancion Pt. 2 (feat. Arcángel),46,0.0798,99.866,4
48,0.00436,,0,0.451,0.701,0.779,,0.0,11,0.121,-4.657,161093,Dinero - English Version,37,0.0647,119.974,4
49,0.133,Ne-Yo,1,0.421,0.494,0.7290000000000001,False,0.0,2,0.143,-4.934,204453,NIGHTS LIKE THESE,59,0.161,78.833,4
50,0.0199,,1,0.294,0.561,0.58,,0.0,5,0.0619,-5.612,229038,Alright,43,0.0414,84.98,4
51,0.0185,Bruno Mars,0,0.926,0.7040000000000001,0.8590000000000001,False,0.0,5,0.0215,-4.877,217288,Finesse (Remix) [feat. Cardi B],84,0.0996,105.115,4
52,0.586,Fancy Cars,1,0.489,0.633,0.765,False,6.890000000000001e-05,1,0.0966,-5.732,202574,Belong To U,44,0.0474,100.934,4
53,0.569,Salaam Remi,1,0.836,0.853,0.7140000000000001,True,0.0101,7,0.0716,-6.1770000000000005,167823,Sunny Daze,40,0.0767,92.375,4
54,0.0652,,1,0.813,0.8,0.8370000000000001,,4.52e-05,7,0.0699,-4.488,241135,"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41,0.099,105.026,4
55,0.118,,0,0.434,0.743,0.7929999999999999,,6.07e-05,2,0.2269999999999999,-5.032,194011,Island,37,0.0546,109.921,4
56,0.159,Sean Kingston,1,0.708,0.745,0.6659999999999999,False,0.0,9,0.302,-5.899,241933,Beautiful Girls,10,0.0566,129.995,4
57,0.145,Foster The People,0,0.965,0.733,0.71,False,0.115,5,0.0956,-5.849,239600,Pumped Up Kicks,84,0.0292,127.975,4
58,0.132,Michael Jackson,0,0.7120000000000001,0.775,0.7190000000000001,False,1.79e-06,7,0.0662,-6.212000000000001,246026,Love Never Felt so Good,74,0.0435,117.513,4
59,0.143,,1,0.665,0.659,0.696,,0.0,3,0.13,-4.291,252160,With You,69,0.071,86.001,4
60,0.00611,P!nk,1,0.625,0.701,0.7,True,0.0,7,0.0295,-4.934,203306,Raise Your Glass,54,0.0876,122.035,4
61,0.00761,,1,0.873,0.7290000000000001,0.7709999999999999,,0.0,4,0.087,-2.451,198053,What Makes You Beautiful,69,0.0725,125.011,4
62,0.073,Britney Spears,1,0.235,0.7240000000000001,0.695,False,0.0,11,0.0889,-5.226,224400,Womanizer,76,0.0622,139.0,4
63,0.192,Pitbull,1,0.529,0.6709999999999999,0.939,False,0.0,8,0.298,-3.2060000000000004,252306,Give Me Everything,75,0.161,129.023,4
